name,guid,definition,values_count,values_preview,values_file
carbonatesForms,e1550663-3b05-4549-b4ce-5d22e6a8af74,http://w3id.org/glosis/model/codelists/carbonatesFormsValueCode,7,disperse powdery lime; hard cemented layer or layers of carbonates (less than 10 cm thick); hard concretions,values/carbonatesFormsValueCode.csv
mottlesSize,a2c73d17-795e-419d-876c-c61e55351613,http://w3id.org/glosis/model/codelists/mottlesSizeValueCode,4,Coarse; F Fine; M Medium,values/mottlesSizeValueCode.csv
peatDecompostion,ca88d2ef-255a-4a78-9ec4-6bc05e261b7e,http://w3id.org/glosis/model/codelists/peatDecompostionValueCode,9,Fibric; Hemic; low,values/peatDecompostionValueCode.csv
peatDrainage,41cb0388-aa0c-481c-a32e-9d1ec8121e6e,http://w3id.org/glosis/model/codelists/peatDrainageValueCode,4,Moderately drained; Undrained; Weakly drained,values/peatDrainageValueCode.csv
peatVolume,1f6f81e9-d184-415d-b64c-c25b09d16d97,http://w3id.org/glosis/model/codelists/peatVolumeValueCode,5,Between 3% and 5%; Between 5% and 8%; Between 8% and 12%,values/peatVolumeValueCode.csv
cementationContinuity,3b0b162a-6615-46b4-bf47-fe99c40b3d64,http://w3id.org/glosis/model/codelists/cementationContinuityValueCode,3,Broken; Continuous; Discontinuous,values/cementationContinuityValueCode.csv
biologicalAbundance,548f769f-6254-4576-959a-c95d6227edb3,http://w3id.org/glosis/model/codelists/biologicalAbundanceValueCode,4,Common; Few; Many,values/biologicalAbundanceValueCode.csv
cementationDegree,b73016ca-9fa0-42ce-827c-49ad07fdca2b,http://w3id.org/glosis/model/codelists/cementationDegreeValueCode,6,Cemented; Compacted but non-cemented; Indurated,values/cementationDegreeValueCode.csv
physiography,e6a9dfc8-8b47-4192-9f1d-8b9a0185a223,http://w3id.org/glosis/model/codelists/physiographyValueCode,10,Bottom (drainage line); Bottom (flat); Crest (summit),values/physiographyValueCode.csv
plasticity,1efa3a27-5a9c-43e4-8a3a-9cc36e56a05d,http://w3id.org/glosis/model/codelists/plasticityValueCode,6,Non-plastic; Plastic; plastic to very plastic,values/plasticityValueCode.csv
poresAbundance,a043b2c2-ce9d-4d9c-81a1-efe6d00c9bb5,http://w3id.org/glosis/model/codelists/poresAbundanceValueCode,5,Common; Few; Many,values/poresAbundanceValueCode.csv
porosityClass,f71060d3-12fc-4cd3-8747-ef5f2e7c3fff,http://w3id.org/glosis/model/codelists/porosityClassValueCode,5,High; Low; Medium,values/porosityClassValueCode.csv
profileDescriptionStatus,9db8169c-05e9-4b3e-90b8-4386d34681d3,http://w3id.org/glosis/model/codelists/profileDescriptionStatusValueCode,9,Incomplete description; Incomplete description - no sampling; Other descriptions,values/profileDescriptionStatusValueCode.csv
rockAbundance,22a71ab2-9383-4d1c-b237-12af30405e56,http://w3id.org/glosis/model/codelists/rockAbundanceValueCode,8,Abundant; Common; Dominant,values/rockAbundanceValueCode.csv
rockOutcropsCover,dc1ad36e-930f-4cb3-aa7a-db895113a126,http://w3id.org/glosis/model/codelists/rockOutcropsCoverValueCode,7,Abundant; Common; Dominant,values/rockOutcropsCoverValueCode.csv
rockOutcropsDistance,c428a347-3902-4960-8233-bab471833805,http://w3id.org/glosis/model/codelists/rockOutcropsDistanceValueCode,5,Between 20m and 50m; Between 2m and 5m; Between 5m and 20m,values/rockOutcropsDistanceValueCode.csv
rockShape,d7b2a2dd-42c5-42d4-b611-3413097a0199,http://w3id.org/glosis/model/codelists/rockShapeValueCode,4,Angular; Flat; Rounded,values/rockShapeValueCode.csv
rockSize,5e1bf331-8652-46f3-8d04-5a19d50bdcc0,http://w3id.org/glosis/model/codelists/rockSizeValueCode,18,Artefacts; Boulders; Boulders and large boulders,values/rockSizeValueCode.csv
cementationFabric,30b93785-2f67-4772-8b09-61a02191967a,http://w3id.org/glosis/model/codelists/cementationFabricValueCode,4,Nodular; Pisolithic; Platy,values/cementationFabricValueCode.csv
rootsAbundance,d1b1458e-0214-4029-9146-8c65bdf2ff0c,http://w3id.org/glosis/model/codelists/rootsAbundanceValueCode,5,Common; Few; Many,values/rootsAbundanceValueCode.csv
saltContent,41d9b473-8495-4e1c-b55e-2b41de565ea7,http://w3id.org/glosis/model/codelists/saltContentValueCode,6,(nearly)Not salty; Extremely salty; Moderately salty,values/saltContentValueCode.csv
saltCover,1ae54454-9160-4248-af0f-158a02af057e,http://w3id.org/glosis/model/codelists/saltCoverValueCode,5,Dominant; High; Low,values/saltCoverValueCode.csv
saltThickness,23f9b107-6248-438d-a9ab-0d1637727b6c,http://w3id.org/glosis/model/codelists/saltThicknessValueCode,5,Medium; None; Thick,values/saltThicknessValueCode.csv
cementationNature,7c81b713-250b-4475-afb0-23958c54f52a,http://w3id.org/glosis/model/codelists/cementationNatureValueCode,13,Carbonates; Carbonates–silica; Clay,values/cementationNatureValueCode.csv
sandyTexture,b7587f36-55b5-42ee-b76d-668a24bfdc41,http://w3id.org/glosis/model/codelists/sandyTextureValueCode,10,Coarse sand; Coarse sandy loam; Fine sand,values/sandyTextureValueCode.csv
sealingConsistence,6823eefa-ed63-4348-92e9-052ed5f29d8c,http://w3id.org/glosis/model/codelists/sealingConsistenceValueCode,4,Extremely hard; Hard; Slightly hard,values/sealingConsistenceValueCode.csv
sealingThickness,d77da748-b058-45da-9f77-8a772d739b51,http://w3id.org/glosis/model/codelists/sealingThicknessValueCode,5,Medium; None; Thick,values/sealingThicknessValueCode.csv
slopeForm,cf9e5069-7d46-4938-affa-de8b8e9fcca7,http://w3id.org/glosis/model/codelists/slopeFormValueCode,5,complex (irregular); concave; convex,values/slopeFormValueCode.csv
slopeGradientClass,32f83c56-58c6-4c36-a85d-d9a453877058,http://w3id.org/glosis/model/codelists/slopeGradientClassValueCode,10,Flat; Gently sloping; Level,values/slopeGradientClassValueCode.csv
slopePathways,8a850c34-6aa0-480f-a3f4-f7adc7114cad,http://w3id.org/glosis/model/codelists/slopePathwaysValueCode,9,CC; CS; CV,values/slopePathwaysValueCode.csv
stickiness,228b7b7b-df51-4d25-bb07-fcd8543827f7,http://w3id.org/glosis/model/codelists/stickinessValueCode,6,Non-sticky; Slightly sticky; slightly sticky to sticky,values/stickinessValueCode.csv
structureGrade,5a46dd1b-9e8d-4138-86aa-410289cdfe57,http://w3id.org/glosis/model/codelists/structureGradeValueCode,5,Moderate; Moderate to strong; Strong,values/structureGradeValueCode.csv
structureSize,c40a1e8a-9aa1-4f97-be5b-f053ce8a2890,http://w3id.org/glosis/model/codelists/structureSizeValueCode,6,Coarse/thick; Extremely coarse; Fine/thin,values/structureSizeValueCode.csv
surfaceAge,953a3ce0-f992-43a9-b746-aeb3b559310c,http://w3id.org/glosis/model/codelists/surfaceAgeValueCode,14,"Holocene anthropogeomorphic; Holocene natural; Late Pleistocene, ice covered",values/surfaceAgeValueCode.csv
vegetationClass,8e18bd14-f491-43b9-b866-afafabf7ae5d,http://w3id.org/glosis/model/codelists/vegetationClassValueCode,29,Closed forest; Coniferous forest; Deciduous dwarf shrub,values/vegetationClassValueCode.csv
voidsClassification,cef6d110-c603-4280-ae7d-52c013e4b292,http://w3id.org/glosis/model/codelists/voidsClassificationValueCode,5,Channels; Interstitial; Planes,values/voidsClassificationValueCode.csv
voidsDiameter,c8cc9fff-f4eb-470d-a1fc-38c0793ad77e,http://w3id.org/glosis/model/codelists/voidsDiameterValueCode,8,Coarse; Fine; fine and medium,values/voidsDiameterValueCode.csv
Aciexc,fa690496-bbd4-4fb9-aa85-6edb70b78e5e,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aciexc,0,,
Aciext,aa6e259d-e2b9-4fc8-8fa2-9f77477c2433,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aciext,0,,
Alu,c8fda617-0615-4901-bc7b-ae99caaf2820,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Alu,0,,
Aludit,c82f2de7-287c-411b-9486-2b74adb2e72c,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aludit,0,,
Aluexc,790f3270-ac45-4e5c-a675-f2f43c3df547,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluexc,0,,
Aluext,dbc9b971-620e-45a6-8b42-8184bc505bd0,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluext,0,,
Aluoxa,a7eec5f0-15d2-494d-8fc5-e6e1d559081a,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Aluoxa,0,,
Alupyr,fde6a5f3-0e7f-4841-86b3-a2aaf330a1b6,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Alupyr,0,,
Alusat,5eadcbe9-36c8-465c-98d3-21135574b384,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Alusat,0,,
Alutot,f5ba4320-09c9-4cb5-8a05-742158e47a7b,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Alutot,0,,
